ఆఫ్రికా	Afrique
మగ	Mâle (biologie)
హల్క్ హొగన్	Hulk Hogan
బ్రాంప్టన్	Brampton (Ontario)
చంద్ర గ్రహణం	Éclipse lunaire
మిషెల్ ఫూకొ	Michel Foucault
సల్మాన్ రష్దీ	Salman Rushdie
జిహాద్	Djihad
గ్నోమ్(GNOME)	GNOME
పురాణము	Légende
బ్లింగ్-బ్లింగ్	Bling-bling
వాలెంతినా తెరిష్కోవా	Valentina Terechkova
సొరంగం	Tunnel
నెక్ టై	Cravate
రసాయన బంధం	Liaison chimique
విన్స్ మెక్‌మాన్‌	Vince McMahon
గోల్డెన్ గేట్ వంతెన	Golden Gate Bridge
ఫాబేసి	Fabaceae
ఒర్లాండో బ్లూమ్	Orlando Bloom
బల్లెము	Lance
పియర్ సైమన్ లాప్లేస్	Pierre-Simon de Laplace
ది గ్రేట్ ఖలీ	The Great Khali
గానుగ	Moulin
త్రవ్వకాలు(గనుల)	Industrie minière
మహమ్మారి	Épidémie
సెల్మా లాగర్‌లోఫ్	Selma Lagerlöf
దేవాలయం	Temple
గ్నూ	GNU
విద్యాధర్ సూరజ్ ప్రసాద్ నైపాల్	V. S. Naipaul
ఉపవాసము	Jeûne
ఇకైనోడెర్మేటా	Echinodermata
నౌకాశ్రయం	Port
మల్బరీ	Mûrier
సుహార్తో	Soeharto
సన్ డూంగ్ కేవ్	Grotte Sơn Đông
లిండ్సే లోహాన్	Lindsay Lohan
సుడోకు	Sudoku
బిందువు (జ్యామితి)	Point (géométrie)
అలెక్స్ ఫెర్గూసన్	Alex Ferguson
ఎంట్రోపి	Entropie (thermodynamique)
లకుముకి పిట్ట	Alcedinidae
అనుకరణ	Simulation de phénomènes
ఫాస్ట్ బౌలింగ్	Fast bowling
యముడు	Yama
మదన గింజ	Lin cultivé
సిమెంటు	Ciment
పిస్టన్	Piston (mécanique)
ది డోర్స్	The Doors
బ్రహ్మపుత్రా నది	Brahmapoutre
బ్రిటిష్‌ కౌన్సిల్‌	British Council
స్వస్తిక్	Svastika
దెయ్యం	Fantôme
విలియం వర్డ్స్ వర్త్	William Wordsworth
డెన్నిస్ రిచీ	Dennis Ritchie
మీకాయీల్	Michel (archange)
యూకలిప్టస్	Eucalyptus
చెత్త	Déchet
షార్లోట్టేస్ వెబ్	La Toile de Charlotte
విశ్వనాథన్ ఆనంద్	Viswanathan Anand
పనస	Jacquier
రోలు మరియు రోకలి	Mortier et pilon
జలచర ప్రదర్శనశాల	Aquarium
సత్యేంద్రనాథ్ బోస్	Satyendranath Bose
కింగ్ ఆర్థర్	Roi Arthur
వరకట్నం	Dot
అంతరా మాలీ	Antara Mali
బాణం	Flèche (arme)
ఎఱ్ఱకోట	Fort Rouge (Delhi)
చెవుల పిల్లి	Lièvre
దాద్రా నగరు హవేలీ	Dadra et Nagar Haveli
మానవతావాదం	Humanisme
జీయాస్ విగ్రహం-ఒలింపియా	Statue chryséléphantine de Zeus à Olympie
గతి శక్తి	Énergie cinétique
రోసేసి	Rosaceae
తాబేలు	Testudinidae
పులిట్జర్ బహుమానం	Prix Pulitzer
ఛార్లెస్‌ బాబేజ్‌	Charles Babbage
రక్త పిశాచి	Vampire
ఫిజి హిందీ	Hindi des Fidji
అమీబా	Amoeba
హ్యారీ పాటర్ అండ్ ది గోబ్లెట్ ఆఫ్ ఫైర్	Harry Potter et la Coupe de feu
హ్యారీ పాటర్ అండ్ ది డెత్లీ హాలోస్	Harry Potter et les Reliques de la Mort
వంగారి మాథాయ్	Wangari Muta Maathai
భగవద్గీత	Bhagavad-Gita
ది టైమ్స్ ఆఫ్ ఇండియా	The Times of India
ఇస్రేల్ మ్యూజియం	Musée d'Israël
ఉంగరము	Bague
హ్యారీ పాటర్ అండ్ ది హాఫ్ బ్లడ్ ప్రిన్స్	Harry Potter et le Prince de sang-mêlé
జిఎస్ఎమ్	Global System for Mobile Communications
పలి జిల్లా	District de Pali
గాబ్రో	Gabbro
బుగ్గ	Joue
జీవవైవిధ్యం	Biodiversité
రూబిక్స్ క్యూబ్	Rubik's Cube
ఐశ్వర్య రాయ్	Aishwarya Rai
మానభంగం	Viol
బొక్కెన	Seau
ఎల్ఎక్స్‌డిఇ(LXDE)	LXDE
క్రిస్మస్ చెట్టు	Sapin de Noël
కు క్లక్స్ క్లాన్	Ku Klux Klan
బ్రాహ్మణులు	Brahmane
అటకామా ఎడారి	Désert d'Atacama
యజుర్వేదం	Yajur-Véda
వినియోగదారు ఇంటర్‌ఫేస్	Interface utilisateur
హ్యారీ పాటర్ అండ్ ది ఛాంబర్ ఆఫ్ సీక్రెట్స్	Harry Potter et la Chambre des secrets
వారెన్ బఫెట్	Warren Buffett
శాసనోల్లంఘన	Désobéissance civile
పుట్టిన రోజు	Anniversaire
కామసూత్ర	Kâmasûtra
కేంద్రీయ నాడీ వ్యవస్థ	Système nerveux central
ఇబ్రాహీం మతము	Religion abrahamique
ఇలకోడి	Gryllidae
క్యోటో ఒప్పందం	Protocole de Kyoto
మిల్టన్ ఫ్రీడ్‌మన్	Milton Friedman
ఎడ్మండ్ హేలీ	Edmond Halley
స్వామీ వివేకానంద	Vivekananda
అంతర్జాతీయ క్రిమినల్ కోర్టు	Cour pénale internationale
కంపైలర్	Compilateur
ఎసిటిక్ ఆమ్లం	Acide acétique
ప్రమాణం	Unité de mesure
ఆర్సేన్ వెంగెర్	Arsène Wenger
హ్యారీ పోటర్ అండ్ ది ప్రిజనెర్ ఆఫ్ అజ్కాబాన్	Harry Potter et le Prisonnier d'Azkaban
ఎంఎస్-డాస్	MS-DOS
నాడైన్ గార్డిమర్	Nadine Gordimer
రక్త వర్గం	Groupe sanguin
కాథరిన్ జీటా-జోన్స్	Catherine Zeta-Jones
బ్లాక్ సబ్బాత్	Black Sabbath
బాబిలోనియా	Babylone (royaume)
ది గాడ్‌ఫాదర్	Le Parrain (film)
డౌన్ సిండ్రోమ్	Trisomie 21
బ్రొక్కొలి	Brocoli
ధనుర్వాతము	Tétanos
ప్రతిభా పాటిల్	Pratibha Patil
ఇస్లాం పూర్వపు అరేబియా	Arabie préislamique
మెంథా	Menthe
రాబీ విలియమ్స్	Robbie Williams
పేకముక్క	Carte à jouer
ప్యారిస్ హిల్టన్	Paris Hilton
ఖడ్గమృగం	Rhinocéros indien
లక్నో	Lucknow
సర్కస్	Cirque
బుల్ఢానా జిల్లా	District de Buldana
మూస:Commonscat	Modèle:Commonscat
కింగ్ కోబ్రా	Cobra royal
మూల కణం	Cellule souche
అరేసి	Araceae
ఈదీ అమీన్	Idi Amin Dada
ఫెడోరా	Fedora (Linux)
వాటర్లూ యుధ్ధం	Bataille de Waterloo
యూరియా	Urée
నీతి	Morale
బేవుల్ఫ్	Beowulf
రేవడిచెట్టు	Dillenia indica
మోర్గాన్ ఫ్రీమాన్	Morgan Freeman
సిఎన్ఎన్ (CNN)	Cable News Network
మీనార్	Minaret
హిప్పోకాంపస్	Hippocampe (cerveau)
గిలక (పుల్లీ)	Poulie
అమృత్‌సర్	Amritsar
రిచర్డ్ గేర్	Richard Gere
ఫీనిక్స్ (పక్షి)	Phénix
గ్నూ హర్డ్	GNU Hurd
వోయెజర్ 2	Voyager 2
క్యూరియాసిటీ	Curiosity (rover)
ఆఫ్రికా-అమెరికా చట్ట హక్కుల ఉద్యమం (1955-1968)	Mouvement afro-américain des droits civiques
రోసెట్టా వ్యోమనౌక	Rosetta (sonde spatiale)
తోటపని	Horticulture
పరదా	Rideau
దారం	Fil textile
చంద్రయాన్	Chandrayaan-1
కుట్టు మిషను	Machine à coudre
తెలుగు కథ	Nouvelle
మసాచుసెట్స్ ఇన్సిట్యూట్ ఆఫ్ టెక్నాలజీ	Massachusetts Institute of Technology
పెన్సిల్వేనియా విశ్వవిద్యాలయం	Université de Pennsylvanie
భోజ్‌పూర్	District de Bhojpur (Bihar)
భగల్‌పూర్	District de Bhagalpur
తూర్పు చంపారణ్	District du Champaran oriental
రోచెస్టర్, న్యూయార్క్	Rochester (New York)
సాలి రైడ్	Sally Ride
ఆల్బర్ట్ స్విట్జర్	Albert Schweitzer
పర్యాటక రంగం	Tourisme
ఏలియమ్	Allium
మారుపేరు	Surnom
పీచుమిఠాయి	Barbe à papa
వివాహం (పెళ్లి)	Noces
గెలుపు	Victoire (militaire)
నీటి వర్ణ చిత్రాలు	Aquarelle
డైర్ స్ట్రెయిట్స్	Dire Straits
ట్రోజన్ హార్స్	Cheval de Troie
రిచర్డ్ అటెన్‌బరో	Richard Attenborough
కొండమీద ప్రసంగం	Sermon sur la montagne
ఇస్లాం క్రైస్తవ మతాల మధ్య సంబంధాలు	'Īsā
యూహాన్నా అల్ దెమాష్కీ	Jean Damascène
ఎబోలా వైరస్ వ్యాధి	Maladie à virus Ebola
షేక్ హసీనా	Sheikh Hasina
సుంకం	Droit de douane
మూస:Chembox	Modèle:Infobox Chimie
మూస:సమాచారపెట్టె ఖనిజం	Modèle:Infobox Minéral
మూస:Taxobox	Modèle:Taxobox
ఎరిక్సన్	Ericsson
ఘనీభవించిన భుజం	Capsulite rétractile de l'épaule
ప్రసంగం	Parole
బ్లాక్ కామెడీ	Humour noir
రక్త దానం	Don de sang
అకాంథేసి	Acanthaceae
లామియేసి	Lamiaceae
లిలియేసి	Liliaceae
రామభద్రాచార్య	Rambhadracharya
కప్ప	Anoures
సాలమండర్	Caudata
దోపిడీ	Braquage
కొండ	Colline
ద్రవాభిసరణం	Osmose
సిడ్నీ హార్బర్ వంతెన	Harbour Bridge
మార్టినా నవ్రతిలోవా	Martina Navrátilová
ఆండీ రాడిక్	Andy Roddick
జఘన జుట్టు	Pilosité pubienne
సునీతా విలియమ్స్	Sunita Williams
రిత్విక్ ఘటక్	Ritwik Ghatak
శ్యామ్ బెనగళ్	Shyam Benegal
రాజ్ కపూర్	Raj Kapoor
పెథిడిన్	Péthidine
స్పైస్ గర్ల్స్	Spice Girls
ఓప్రా విన్‌ఫ్రే	Oprah Winfrey
భారత స్వాతంత్ర్య దినోత్సవం	Jour de l'Indépendance (Inde)
స్యాలమెంక	Salamanca (Chili)
డెస్క్‌టాప్ కంప్యూటర్	Ordinateur de bureau
పారాసిటమాల్	Paracétamol
ఫ్రిట్జ్ హేబర్	Fritz Haber
కంచము	Assiette (vaisselle)
జాకబ్ జుమా	Jacob Zuma
మహీంద రాజపక్స	Mahinda Rajapakse
ప్రణబ్ ముఖర్జీ	Pranab Mukherjee
కోట	Fortification
పాశ్చరైజేషన్	Pasteurisation
తక్షణ సందేశం	Messagerie instantanée
డిమ్ము బోర్‌గిర్	Dimmu Borgir
మిరిస్టోలిక్ ఆమ్లం	Acide myristoléique
ఫీల్డింగ్ (క్రికెట్)	Chasse (cricket)
పంజాబీ భాష	Pendjabi
బ్రాసికా	Brassica
