आफ्रिकाखण्डः	Afrique
बीडमण्डलम्	District de Bid
बेळगावीमण्डलम्	District de Belgaum
अतिथिसत्कारः	Hospitalité
विकिरणीयप्रदूषणम्	Contamination radioactive
द्वारकाद्वीपः	Dwarka
पट्टदकल्लु	Pattadakal
ब्राह्मणम्	Brahmana
परशुरामः	Parashurama
संस्कृतसाहित्यशास्त्रम्	Poétique (discipline)
तिरुपुर	Tiruppur
लाहौल्-स्पितीमण्डलम्	District de Lahul et Spiti
भारतीय भूगोलः	Géographie de l'Inde
प्राणायामः	Pranayama
कथाकेळिः	Kathakali
कन्नडलिपिः	Alphasyllabaire kannada
मन्दारः	Bauhinia variegata
स्मृतयः	Smriti
फैजाबाद्	Faizabad
नारदः	Nârada
माध्यमिकाः	Madhyamaka
चम्पानेर्-पावागढ़-पुरातत्त्वोद्यानम्	Parc archéologique de Champaner-Pavagadh
तमिल-विकिपीडिया	Wikipédia en tamoul
द्वितीयः चन्द्रगुप्तः	Chandragupta II
महाजनपदाः	Mahajanapadas
योगाचाराः	Cittamātra
मीमांसा	Mîmâmsâ
चन्द्रगुप्तः	Chandragupta Ier
खण्डशर्करा	Sucre candi
दत्तात्रेयः	Dattātreya
वियुग्मदण्डम्	Barres asymétriques
भरतपुरमण्डलम्	District de Bharatpur
भरुचमण्डलम्	District de Bharuch
भावनगरमण्डलम्	District de Bhavnagar
भीमा	Bhima (rivière)
राष्ट्रकूटवंशः	Rashtrakuta
पाण्डुः	Pandu
भृङ्गराजसस्यम्	Mahakanni
बृहत्संहिता	Varahamihira
शक्तिविशिष्टाद्वैतवेदान्तः	Lingayatisme
बीजुजनतादलम्	Biju Janata Dal
चन्द्रपुरम्	Chandrapur
बुलन्दशहर	Bulandshahr
बून्दी	Bundi (Inde)
चामराजनगरमण्डलम्	District de Chamarajanagar
हलासनम्	Halasana
धनुरासनम्	Dhanurasana
राजगिर	Rajgir
दीमापुर्	Dimapur
चैतन्‍य महाप्रभु	Chaitanya Mahaprabhu
पदतलम्	Plante (pied)
शिल्पकला	Artisanat
इटावा	Etawah
वेलावदर राष्ट्रियोद्यानम्	Parc national de Velavadar
वसुदेवः	Vasudeva
द्रोणाचार्यः	Drona
कांशीरामनगरमण्डलम्	District de Kanshiram Nagar
ब्रह्मसूत्राणि	Brahma Sutra
ब्रह्मचर्यम्	Brahmacharya
श्रीराम शंकर अभ्‍यंकर	Shreeram Shankar Abhyankar
जनतादलम्(संयुक्तम्)	Janata Dal (United)
शूद्रः	Shudra
गोमयम्	Bouse
तुमकूरुमण्डलम्	Tumkur
सर्वभारतीयतृणमूलकांग्रेसपक्षः	All India Trinamool Congress
विकिपीडिया:साहाय्यम्	Aide:Sommaire
टोङ्कमण्डलम्	District de Tonk
वेदाङ्गम्	Védanga
लक्ष्मणः	Lakshmana
केतुः	Ketu (homonymie)
धृतराष्ट्रः	Dhritarashtra
द हिन्दू	The Hindu
वासकसस्यम्	Justicia adhatoda
होशियारपुरम्	Hoshiarpur
अलप्पुळामण्डलम्	District d'Alappuzha
गणेशचतुर्थी	Ganesh Chaturthi
गुनामण्डलम्	District de Guna
स्वामी नारायणः	Swaminarayan
रागीधान्यम्	Éleusine
सिरोही	Sirohi
मोहिनीयाट्टम्	Mohiniattam
ठाणेमण्डलम्	District de Thane
भारतीयविज्ञानसंस्था (IISc)	Indian Institute of Science
पर्यावरणशिक्षा	Éducation à l'environnement et au développement durable
तुङ्गभद्रा	Tungabhadrâ
पद्मश्री-पुरस्कारः	Padma Shri
पालनपुरम्	Palanpur
राहुः	Râhu
दक्षिणकन्नडमण्डलम्	District de Dakshina Kannada
मिर्जापुरम्	Mirzapur
कोप्पळ	District de Koppal
हासनमण्डलम्	District de Hassan
कर्णाटकसङ्गीतम्	Musique carnatique
तुलसी	Ocimum tenuiflorum
वेणुः (वाद्यम्)	Bansurî
मुण्डकोपनिषत्	Mundaka Upanishad
वातामक्षीरम्	Lait d'amande
प्रश्नोपनिषत्	Prashna Upanishad
हिन्दुदेवताः	Divinités du Sanatana Dharma
वर्धामण्डलम्	District de Wardha
एम् एस् स्वामिनाथन्	Monkombu Swaminathan
रमेशकृष्णन्	Ramesh Krishnan
युधिष्ठिरः	Yudhishthira
पाण्डीचेरीमण्डलम्	District de Pondichéry
यास्कः	Yâska
कोटामण्डलम्	District de Kota
रायबरेली	Rae Bareli
सागर	Sagar (Madhya Pradesh)
हळेबीडु	Halebid
फतेहगढ	Fatehgarh
देवरिया, उत्तरप्रदेशः	Deoria
मुन्नार्	Munnar
ईशावास्योपनिषत्	Isha Upanishad
एरणाकुलम्-मण्डलम्	Ernakulam
जौनपुरम्, उत्तरप्रदेशः	Jawnpur
श्रवणबेळगोळ	Shravanabelagola
शान्तिनिकेतन	Santiniketan
प्रतापगढ, उत्तरप्रदेशः	Pratapgarh
उदरम्	Estomac
अविद्या (योगदर्शनम्)	Avidyā
द्रौपदी	Draupadi
समुद्रीय-प्रदूषणम्	Pollution marine
चम्बामण्डलम्	District de Chamba
कच्छमण्डलम्	District de Kutch
चार्ल्स् एल्टन्	Charles Sutherland Elton
पुट्टपर्ती	Puttaparthi
तृणबदरफलरसः	Jus de fraise
समाधिपादः	Yoga-sûtra
छत्रपतिशाहूजिमहाराजनगरमण्डलम्	District d'Amethi
चित्तौडगढमण्डलम्	District de Chittorgarh
धर्मशास्त्रम्	Dharmashastra
चुरूमण्डलम्	District de Churu
ओङ्कारेश्वरः	Omkareshwar
क्लव्डी ईदर्ली	Claude Eatherly
ऐतरेयोपनिषत्	Aitareya Upanishad
माण्डूक्योपनिषत्	Mandukya Upanishad
केनोपनिषत्	Kena Upanishad
कठोपनिषत्	Katha Upanishad
भारतस्य शासनप्रणालिः	Politique en Inde
नक्षत्रम्	Nakshatra
अयस्कान्तचिकित्सा	Magnétothérapie
पोतकी	Basella alba
कामः	Kama (sanskrit)
समुद्रगुप्तः	Samudragupta
दार्जिलिङ्गमण्डलम्	District de Darjeeling
जयपुरमण्डलम्	District de Jaipur
सातारामण्डलम्	District de Satara
डाङ्गमण्डलम्	District de Dang (Gujarat)
सूर्यनमस्काराः	Salutation au Soleil
गणराज्योत्सवः	Jour de la République (Inde)
कामेट् (शिखरम्)	Kamet
सोमनाथः	Somnāth
मिर्जापुरमण्डलम्	District de Mirzapur
गोरखपुरमण्डलम्	District de Gorakhpur
सर्पगन्धः	Rauvolfia serpentina
कूचिपुडी	Kuchipudi
दुर्गापूजा	Durgā pūjā
जवाहरलालनेहरु विश्वविद्यालय	Université Jawaharlal-Nehru
गुडः	Jaggery
शैलेन्द्रराजवंशः	Sailendra
पर्वतारोहणक्रीडा	Escalade
कोलकाता नैट् रैडर्स्	Kolkata Knight Riders
रायल् चालेञ्जर्स् बेङ्गळूरु	Royal Challengers Bangalore
खरोष्ठी	Alphabet kharosthi
दौसामण्डलम्	District de Dausa
डेक्कन् चार्जर्स्	Deccan Chargers
दीक्षाभूमिः	Deekshabhoomi
गृञ्जनकरसः	Jus de carotte
दतिया	Datia
हिन्दुधर्मस्य इतिहासः	Histoire de l'hindouisme
भारतीय प्रौद्यौगिकी संस्थानम् दिल्ली	Institut indien de technologie de Delhi
कथासरित्सागरः	Kathâsaritsâgara
मुम्बै इण्डियन्स्	Mumbai Indians
एकादशी	Ekadashi
पीलीभीत्	Pilibhit
धौलपुरमण्डलम्	District de Dholpur
द्राक्षाफलरसः	Jus de raisin
भारतीयसेनोत्सवः	Jour des forces armées
माण्डिनो डि लूज्जि	Mondino de' Liuzzi
मीनराशिः	Poissons (astrologie)
द्राविडमुन्नेत्रकळगम्(डि.एम्.के)	Dravida Munnetra Kazhagam
धौलपुरम्	Dholpur (Inde)
डुङ्गरपुरमण्डलम्	District de Dungarpur
द्वापरयुगम्	Dvapara Yuga
विक्रमादित्यः	Vikramâditya
स्कन्दगुप्तः	Skandagupta
अलाबु	Lagenaria siceraria
प्राचीनगणितम्	Mathématiques indiennes
गाझिपुरमण्डलम्	District de Ghazipur
चेन्नै सूपर् किङ्ग्स्	Chennai Super Kings
राष्ट्रियस्वयंसेवकसङ्घः	Rashtriya Swayamsevak Sangh
