Африк	Afrique
У Жинь-хёк	Oh Jin-hyek
Костанай	Kostanaï
Ким Жон-ынь	Kim Jung-eun
Рафаэль Варан	Raphaël Varane
Эрнст Энд Янг	EY (Ernst & Young)
Славен Билич	Slaven Bilić
Антонио Адан	Antonio Adán
Чү Жинь-му	Ju Jin-mo
Пэк Жи-ён	Baek Ji-young
Дэлхийн долоон гайхамшиг	Sept merveilles du monde
Пак Бу-ён	Park Bo-young
Герард Ван Велде	Gerard van Velde
Хивын хант улс	Khanat de Khiva
Наманган	Namangan
Чу Минь-сонь	Cho Min-sun
Нийлүүлэлтийн гинжин удирдлага	Gestion de la chaîne logistique
Сун Юүнь-а	Song Yun-ah
Эндрэй Блатч	Andray Blatche
Франсиско Хенто	Francisco Gento
Андре Драммонд	Andre Drummond
Сун Дэ-Нам	Song Dae-nam
Казанийн метро	Métro de Kazan
Пак Ын-Шиг	Park Eun-sik
Чон Ил-ү	Jung Il-woo
K1	K1 (char)
Хун-Жин	Hong Jin
И Сан-Рюун	Yi Sang-ryong
И Дун-Ён	Yi Dongnyeong
Пак Бом	Bom (chanteuse)
SK групп	SK Group
Өмнөд Солонгосын парламент	Gukhoe
Чан На-ра	Jang Nara
Ли Гын Хо	Lee Keun-ho
Хань Хюу-жү	Han Hyo-joo
И Гонь-хи	Lee Kun-hee
Эрчим (хөлбөмбөгийн баг)	Erchim
Ким Рэ-вонь	Kim Rae-won
Цэн тогоруу	Grue à cou blanc
Юү Сын-ху	Yoo Seung-ho
I Селим	Sélim Ier
Бахайн ертөнцийн төв ордон	Centre mondial baha'i
Exo	EXO (groupe)
Юүнь Ынь-хеэ	Yoon Eun-hye
Өгөгдөл	Donnée (informatique)
Сүвоний цэнгэлдэх хүрээлэн	Stade de la Coupe du monde de Suwon
Вонь Бинь	Won Bin
Андреа Ражи	Andrea Raggi
2002 оны Азийн наадам	Jeux asiatiques de 2002
Кү Хара	Goo Hara
Фудань их сургууль	Université Fudan
Пүсань Ай-Парк	Busan IPark Football Club
Галатасарай (хөлбөмбөгийн баг)	Galatasaray Spor Kulübü (football)
2014 оны Азийн наадам	Jeux asiatiques de 2014
Тиара (T-ara) хамтлаг	T-ara
G-Dragon	G-Dragon
Өмнөд Солонгос улс Олимпод	Corée du Sud aux Jeux olympiques
Пун Жүнь-ху	Bong Joon-ho
Солонгосын сагсан бөмбөгийн үндэсний шигшээ баг	Équipe de Corée du Sud de basket-ball
Ким Бом	Kim Bum
Ким Су-ынь	Kim So-eun
Кёнхи их сургууль	Université Kyung Hee
Шим Гүоньху	Sim Kwon-ho
И Вонь-хи	Lee Won-hee
Пак Шин Хе	Park Shin-hye
Бендиго	Bendigo
Александр Романович Беляев	Alexandre Beliaïev
Хэзээ? Хаана? Юу?	Quoi ? Où ? Quand ?
Антонио Байлетти	Antonio Bailetti
Цагаан дэвлээ	Crabier chinois
Жимми Батлер	Jimmy Butler
Макмөрдо	Base antarctique McMurdo
Дифлимп	Deaflympics
Өмнөд Солонгосын хотууд	Villes de Corée du Sud
NVRAM	Mémoire RAM non volatile
Номин хөх бух	Mésange azurée
Гегард	Geghard (monastère)
Тёркс ба Кайкосын арлуудын хөлбөмбөгийн үндэсний шигшээ баг	Équipe des Îles Turques-et-Caïques de football
Цасны богшоодой	Niverolle alpine
Андреас Лингер	Andreas Linger
Кусейр Амра	Qusair Amra
Испани хан бүргэд	Aigle ibérique
Олимпийн дугуйн тэмцээн	Cyclisme aux Jeux olympiques
Андреас Вайман	Andreas Weimann
Кхулна муж	Khulna (division)
Леон Андреасен	Leon Andreasen
Начо (1990 онд төрсөн хөлбөмбөгчин)	José Ignacio Fernández Iglesias
Артур Таймазов	Artur Taymazov
Крис Прэтт	Chris Pratt
Цэнхэр цанцаахай	Pie bleue
Самуэль Хэнсон	Samuel Henson
Шуналтай алгоритм	Algorithme glouton
1995 оны Фахд хааны цом	Coupe des confédérations 1995
Як-38	Yakovlev Yak-38
Як-42	Yakovlev Yak-42
Олон улсын физикийн олимпиад	Olympiades internationales de physique
Як-40	Yakovlev Yak-40
Химийн уураар тунадасжуулах	Dépôt chimique en phase vapeur
Як-1	Yakovlev Yak-1
Юрген Крой	Jürgen Croy
Лагранжийн теорем (бүлгийн онол)	Théorème de Lagrange sur les groupes
Ту-104	Tupolev Tu-104
Леньер Домингес	Leinier Domínguez
Франсиско Алькасер	Paco Alcácer
Райан Уитинг	Ryan Whiting
Вольфганг Лингер	Wolfgang Linger
Маркос Рохо	Marcos Rojo
Уго Кампаньяро	Hugo Campagnaro
Хайбэй тойрог	Préfecture autonome tibétaine de Haibei
Эндрю Уайбрехт	Andrew Weibrecht
Дидье Дешам	Didier Deschamps
Перо Антич	Pero Antić
Рамон Сешнс	Ramon Sessions
Хуан Куадрадо	Juan Guillermo Cuadrado
Ли Зяньжоу	Li Jianrou
Деррик Фейворс	Derrick Favors
Рожер Эспиноза	Roger Espinoza
Жо Смит	Joe Smith (basket-ball)
Эммануэль Агеманг-Баду	Emmanuel Agyemang-Badu
Мөрдөгч Деррик	Inspecteur Derrick
Дерек Друэн	Derek Drouin
Жерри Паласиос	Jerry Palacios
Рики Ламберт	Rickie Lambert
Андрис Шицс	Andris Šics
Эзекил Фрайерс	Ezekiel Fryers
Жамсрангийн Өлзий-Орших	Jamsran Ulzii-Orshikh
Самед Ешиль	Samed Yeşil
Үчишиба Масато	Masato Uchishiba
Файл сервер	Serveur de fichiers
Таньчонь	Tanchon
Вьетнамын хотууд	Villes du Viêt Nam
Гранит Жака	Granit Xhaka
Апелла	Assemblée (Sparte)
Пол Миллсэп	Paul Millsap
Удонис Хаслем	Udonis Haslem
Нейромаркетинг	Neuromarketing
Андре Айю	André Ayew
Родни Стаки	Rodney Stuckey
Марвин Уильямс	Marvin Williams
Ража Наингголан	Radja Nainggolan
Тайлер Хэнсбро	Tyler Hansbrough
Зуун цэцэг дэлгэрэг	Campagne des Cent fleurs
Жорж Хилл (сагсан бөмбөгчин)	George Jesse Hill
1991-1992 оны НБА-гийн улирал	Saison NBA 1991-1992
2010 оны бөхийн төрлүүдийн дэлхийн аварга шалгаруулах тэмцээн	Championnats du monde de lutte 2010
Андре Гомиш	André Gomes
Констан Жакпа	Constant Djakpa
Нарны зайн онгоц	Avion solaire
Доминик Ландертингер	Dominik Landertinger
Андре Хан	André Hahn
Мигель Анхель Мойя	Ángel Moyá
Бууз	Buuz
Ченнинг Фрай	Channing Frye
Антон Шипулин	Anton Shipulin
Тай Лоусон	Ty Lawson
Ник Коллисон	Nick Collison
Вилдполдсрайд	Wildpoldsried
Оскар Вендт	Oscar Wendt
Шарль Амлен	Charles Hamelin
Ян Маинми	Ian Mahinmi
Коста Куфос	Kosta Koufos
Эл Хорфорд	Al Horford
Тайвань улс Олимпод	Taipei chinois aux Jeux olympiques
Андре да Силва	André da Silva
Стив Керр	Steve Kerr
Мэтт Боннер	Matt Bonner
Шейн Баттье	Shane Battier
Бастиан Очипка	Bastian Oczipka
Ян Худек	Jan Hudec
Энди Нахар	Andy Najar
Велигтон	Weligton
Голограф	Holographie
Killzone 3	Killzone 3
Монгол Улсын Үндсэн Хууль	Constitution de la Mongolie
Барүто Кайто	Baruto Kaito
Эшли Уильямс	Ashley Williams (football)
Тод бичиг	Todo bitchig
Рональдо	Ronaldo (football)
Цэцэрлэг хот	Tsetserleg
Милан Бишевац	Milan Biševac
Ажман хот	Ajman (ville)
Хятадын Шинжлэх Ухаан Академийн Хүрээлэн	Académie chinoise des sciences
Испанийн алтан үе	Siècle d'or espagnol
1994-95 оны УЕФА-гийн цом	Coupe UEFA 1994-1995
Ники Билли Нильсен	Nicki Bille Nielsen
Хуан Ань Дүонь	Hoàng Anh Tuấn
Кака	Kaká
Бено Удрих	Beno Udrih
Жей Жей Хиксон	J. J. Hickson
Тяньшуй	Tianshui
Жючуань	Jiuquan
Шани Дэвис	Shani Davis
Тел Беер Шеба	Tel Beer Sheva
Шар хошуут нугас	Canard à bec jaune
Хөх хот	Hohhot
Като Жоожи	Joji Kato
Аида Роман	Aída Román
Лолита (1962 оны кино)	Lolita (film, 1962)
Ганган хар (1994 оны кино)	Prince noir (film, 1994)
Хөлөн нуур	Hulun
Юрий Лончаков	Iouri Lontchakov
Эрл Монро	Earl Monroe
Маргот Бур	Margot Boer
Ирина Хакамада	Irina Khakamada
Ням-Осорын Туяа	Nyam-Osoryn Tuyaa
Прохорвкийн тулалдаан	Bataille de Prokhorovka
Ричард Хьюз	Richard Hughes (musicien)
Нийлүүлэлт	Stock
Өмнө Солонгос улсын хөлбөмбөгийн шигшээ баг	Équipe de Corée du Sud de football
Шумад аймаг	Šumadija (district)
Майк Миньола	Mike Mignola
Маркус Фойльнер	Markus Feulner
Як-7	Yakovlev Yak-7
Чөмөг	Moelle osseuse
Жеймс Честер	James Chester
Хүрэнтолгойт хөмрөг	Bruant à tête rousse
Хоэль Роблес	Joel Robles
Coldplay хамтлагийн бүтээлүүд	Discographie de Coldplay
Од хамарт сохор номин	Condylura cristata
Майкл Оловоканди	Michael Olowokandi
Бор могойч бүргэд	Circaète brun
Таньгүнь	Tangun
Resistance: Retribution	Resistance: Retribution
Николай Мюллер	Nicolai Müller
Гар угаалт	Hygiène des mains
SAP	SAP (entreprise)
Осман Чавес	Osman Chávez
Жефф Тиг	Jeff Teague
Стив Блэйк	Steve Blake
Жордан Хилл	Jordan Hill
Жавейл Макги	JaVale McGee
Кори Брюэр	Corey Brewer
Патрик Херрман	Patrick Herrmann
Ронни Эберсон Фуртадо де Араужо	Ronny Heberson Furtado de Araújo
Даррен Коллисон	Darren Collison
Жаррет Жек	Jarrett Jack
Шон Ливингстон	Shaun Livingston
Мануэль Шмидебах	Manuel Schmiedebach
Мэтт Барнс	Matt Barnes
Дэнни Грин	Danny Green (basket-ball)
Тони Янчке	Tony Jantschke
Рыбен Хаукес	Ruben Houkes
Квинси Эйси	Quincy Acy
Валентин Штокер	Valentin Stocker
Рик Адельман	Rick Adelman
Дастин Педроиа	Dustin Pedroia
Расул Бокиев	Rasul Boqiev
Эрик Ёнсен	Erik Johnsen
Даниэл Ковальски	Daniel Kowalski
Аслей Гонсалес	Asley González
Рудольф Поварницын	Rudolf Povarnitsyn
Франтишек Янда-Сук	František Janda-Suk
Валерий Люкин	Valeri Liukin
Боб Ричардс	Bob Richards
Жэк Лавлок	Jack Lovelock
Жо Делоч	Joe DeLoach
Рой Мата	Roymata
Владимир Петляков	Vladimir Petliakov
Эмиль Войт	Emil Voigt
Льюис Шелдон	Lewis Sheldon
Мохаммед Алим Хан	Alim Khan
Тогрул Аскеров	Toghrul Asgarov
Хенри Карр	Henry Carr
Энар Яагер	Enar Jääger
Пэлжидийн Гэндэн	Peljidiyn Genden
Майк Мур	Mike Moore
Болгарын Чака	Tzaka
Фрэнк Вайкофф	Frank Wykoff
Алекс Родригес	Alex Rodriguez
Константин Хабенский	Constantin Khabenski
Тишон Тайлор	Tyshawn Taylor
Хайду	Qaïdu
Ник Ван Эксел	Nick Van Exel
Хартмут Бризеник	Hartmut Briesenick
Миеэгомбын Энхболд	Miyeegombyn Enkhbold
Мичел (хөлбөмбөгчин)	José Miguel González Martín
Игорь Шалимов	Igor Chalimov
Харолд Озборн	Harold Osborn
Жамбын Батмөнх	Jambyn Batmonkh
Сакаи Гоотокү	Gōtoku Sakai
Доод түвшний програмчлалын хэл	Langage de bas niveau
Едигей	Edigu
Одил Ахмедов	Odil Ahmedov
Лууха	Liao
Марко Сау	Marco Sau
Майкон Перейра Роке	Maicon Pereira Roque
Лукаш Юткевич	Lukas Jutkiewicz
Робин Лопес	Robin Lopez
Асфер линз	Lentille asphérique
Нолан Ру	Nolan Roux
Дадли Жуниор Кэмпбелл	D.J. Campbell
Мавлет Батиров	Mavlet Batirov
Фредрик Линдстрём	Fredrik Lindström
Деннис Дикмайер	Dennis Diekmeier
Майкл Тернер	Michael Turner (football)
Горка Элустондо	Gorka Elustondo
Жовани дос Сантос	Giovani dos Santos
Виллиам Холланд	William Holland
1985 оны жүдогийн дэлхийн аварга шалгаруулах тэмцээн	Championnats du monde de judo 1985
Як-9	Yakovlev Yak-9
Радослав Великов	Radoslav Velikov
Мүнь Ижэ	Moon Eui-jae
Пайтим Касами	Pajtim Kasami
Ухаалаг зурагт	Télévision connectée
Монголын Иргэний Агаарын Тээвэр	MIAT Mongolian Airlines
Роберт Снодграсс	Robert Snodgrass
PEST	Analyse PESTEL
Бугат хот	Baotou
Калка голын тулалдаан	Bataille de la Kalka
Эргэх түгжээ (Spinlock)	Spinlock
Үхай хот	Wuhai
Рикарду Карвалио	Ricardo Carvalho
Улаанхад	Chifeng
Тонляо хот	Tongliao
Ордос хот	Ordos (Mongolie-Intérieure)
Жанго эрх чөлөөгөө олсон нь	Django Unchained
Хөлөнбуйр	Hulunbuir
Баяннуур хот	Bayannuur
Эвэнх өөртөө засах хошуу	Bannière autonome d'Evenk
Улаанцав	Ulaan Chab
Йенс Хегелер	Jens Hegeler
Антарктид далайн хав	Otarie de Kerguelen
Галапагос далайн хав	Arctocephalus galapagoensis
Нью Жерси Нетс	Nets de Brooklyn
Соне Алуко	Sone Aluko
Мөрөн	Mörön
Шилийн Гол аймаг	Ligue de Xilin Gol
Есүхэй баатар	Yesügei
Ян Кирхгофф	Jan Kirchhoff
Антони Модест	Anthony Modeste
Пьер-Мишель Ласогга	Pierre-Michel Lasogga
Сибирийн хөх бух	Mésange lapone
Ачааллыг тэнцвэржүүлэх	Répartition de charge
Келвин Дэвис	Kelvin Davis
Осман Нури Топбаш	Osman Nuri Topbas
Баянгол сум (Сэлэнгэ)	Bayangol
Кооно Таканори	Takanori Kōno
Кайл О'Куин	Kyle O'Quinn
Харрисон Аффул	Harrison Afful
Бухарын хант улс	Khanat de Boukhara
Киргизийн парламент	Zhogorku Kengesh
Олимпийн боксын тэмцээн	Boxe aux Jeux olympiques
Лабрадор нугас	Eider du Labrador
Эльяким Мангала	Eliaquim Mangala
Ват Пхоу	Vat Phou
Ан-32	Antonov An-32
Програмистуудын өдөр	Journée des programmeurs
Жей Родригес	Jay Rodriguez
Үд (Тасеевын цутгал)	Tchouna
Агаарын шүүлтүүр	Filtre à air
